#,Time,Title,_source_page,_wiki_api,biome_category,game
6,5:43,To Be Kyrian,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
7,5:36,The Forsworn,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
8,6:13,"""The Weald Is Watching""",Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
9,5:39,"""Night Embrace You""",Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
10,5:21,Seat of the Primus,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
11,5:47,Death is a Battlefield,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
12,5:53,Pride and Penance,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
13,6:05,Shadows of Nathria,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
14,4:30,Essence of Anguish,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
15,2:58,The Way Is Our Purpose,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
16,3:39,Bolvar - A Will Unbroken,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
1,3:25,Citadel,Wrath of the Lich King – Fall of the Lich King Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
2,2:40,Light's Hammer,Wrath of the Lich King – Fall of the Lich King Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
3,3:48,Halls of Reflection,Wrath of the Lich King – Fall of the Lich King Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
4,4:27,Crimson Hall,Wrath of the Lich King – Fall of the Lich King Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
5,2:34,Forge of Souls and the Bronze Jam,Wrath of the Lich King – Fall of the Lich King Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
6,4:15,The Chase,Wrath of the Lich King – Fall of the Lich King Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
7,6:03,Ice Fortress,Wrath of the Lich King – Fall of the Lich King Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
8,2:25,Sindragosa,Wrath of the Lich King – Fall of the Lich King Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
9,2:08,Stand Down,Wrath of the Lich King – Fall of the Lich King Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
10,1:14,Gunships,Wrath of the Lich King – Fall of the Lich King Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
11,3:17,Invincible <ab>Invincible.mp3</ab>,Wrath of the Lich King – Fall of the Lich King Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
